任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式
388,实时推理任务,1997,2,305,高,区域A,20,2003,1997,不可抢占
389,实时推理任务,1453,7,297,高,区域B,20,1458,1453,不可抢占
390,批量推理任务,1394,22,362,中,区域D,80,2406,1394,不可抢占
391,批量推理任务,1131,18,154,中,区域D,80,2406,1131,不可抢占
392,人工智能训练任务,41,112,318,低,区域F,150,2406,41,不可抢占
393,人工智能训练任务,782,119,48,低,区域A,150,2406,782,不可抢占
394,实时推理任务,988,3,143,高,区域A,20,991,988,不可抢占
395,人工智能训练任务,1664,82,188,低,区域D,150,2406,1664,不可抢占
396,批量推理任务,2274,11,24,中,区域C,80,2406,2274,不可抢占
397,实时推理任务,1950,7,298,高,区域B,20,1955,1950,不可抢占
398,人工智能训练任务,2010,109,166,低,区域F,150,2406,2010,不可抢占
399,批量推理任务,70,9,106,中,区域F,80,2406,70,不可抢占
400,实时推理任务,1205,5,298,高,区域A,20,1210,1205,不可抢占
401,实时推理任务,1656,6,95,高,区域A,20,1658,1656,不可抢占
402,人工智能训练任务,996,81,132,低,区域D,150,2406,996,不可抢占
403,批量推理任务,2382,13,127,中,区域D,80,2406,2382,不可抢占
404,批量推理任务,1938,9,168,中,区域D,80,2406,1938,不可抢占
405,人工智能训练任务,2174,62,374,低,区域F,150,2406,2174,不可抢占
406,批量推理任务,1742,23,24,中,区域A,80,2406,1742,不可抢占
407,人工智能训练任务,2254,44,270,低,区域D,150,2406,2254,不可抢占
408,批量推理任务,1441,18,341,中,区域B,80,2406,1441,不可抢占
409,人工智能训练任务,1858,60,104,低,区域D,150,2406,1858,不可抢占
410,批量推理任务,1255,22,301,中,区域D,80,2406,1255,不可抢占
411,批量推理任务,944,14,78,中,区域E,80,2406,944,不可抢占
412,实时推理任务,788,4,263,高,区域E,20,793,788,不可抢占
413,批量推理任务,489,13,47,中,区域A,80,2406,489,不可抢占
414,人工智能训练任务,2194,21,32,低,区域D,150,2406,2194,不可抢占
415,人工智能训练任务,758,62,311,低,区域D,150,2406,758,不可抢占
416,实时推理任务,886,3,227,高,区域B,20,890,886,不可抢占
417,人工智能训练任务,1983,28,219,低,区域E,150,2406,1983,不可抢占
418,批量推理任务,2148,4,113,中,区域E,80,2406,2148,不可抢占
419,人工智能训练任务,1159,75,365,低,区域A,150,2406,1159,不可抢占
420,实时推理任务,795,4,385,高,区域A,20,802,795,不可抢占
421,批量推理任务,931,8,136,中,区域B,80,2406,931,不可抢占
422,批量推理任务,734,13,296,中,区域C,80,2406,734,不可抢占
423,批量推理任务,57,12,38,中,区域D,80,2406,57,不可抢占
424,人工智能训练任务,2187,93,306,低,区域F,150,2406,2187,不可抢占
425,实时推理任务,1123,6,266,高,区域D,20,1128,1123,不可抢占
426,实时推理任务,223,6,355,高,区域A,20,229,223,不可抢占
427,人工智能训练任务,1196,125,191,低,区域D,150,2406,1196,不可抢占
428,人工智能训练任务,517,102,10,低,区域D,150,2406,517,不可抢占
429,人工智能训练任务,2010,78,64,低,区域E,150,2406,2010,不可抢占
430,实时推理任务,50,3,158,高,区域C,20,53,50,不可抢占
431,人工智能训练任务,1164,62,146,低,区域F,150,2406,1164,不可抢占
432,批量推理任务,1960,13,322,中,区域F,80,2406,1960,不可抢占
433,批量推理任务,1395,12,72,中,区域A,80,2406,1395,不可抢占
434,实时推理任务,210,4,99,高,区域A,20,212,210,不可抢占
435,批量推理任务,1956,14,395,中,区域C,80,2406,1956,不可抢占
436,实时推理任务,267,7,356,高,区域B,20,273,267,不可抢占
437,批量推理任务,2014,20,373,中,区域D,80,2406,2014,不可抢占
438,实时推理任务,2363,3,191,高,区域C,20,2367,2363,不可抢占
439,人工智能训练任务,219,39,189,低,区域A,150,2406,219,不可抢占
440,实时推理任务,611,6,170,高,区域A,20,614,611,不可抢占
441,人工智能训练任务,1244,64,72,低,区域D,150,2406,1244,不可抢占
442,实时推理任务,1016,3,163,高,区域B,20,1019,1016,不可抢占
443,实时推理任务,2285,4,58,高,区域C,20,2286,2285,不可抢占
444,批量推理任务,924,10,93,中,区域E,80,2406,924,不可抢占
445,人工智能训练任务,1558,120,157,低,区域F,150,2406,1558,不可抢占
446,批量推理任务,1813,11,336,中,区域A,80,2406,1813,不可抢占
447,批量推理任务,1756,4,150,中,区域B,80,2406,1756,不可抢占
448,批量推理任务,2329,22,220,中,区域C,80,2406,2329,不可抢占
449,人工智能训练任务,246,77,167,低,区域E,150,2406,246,不可抢占
450,人工智能训练任务,406,44,295,低,区域E,150,2406,406,不可抢占
451,实时推理任务,864,3,266,高,区域C,20,869,864,不可抢占
452,批量推理任务,332,17,184,中,区域A,80,2406,332,不可抢占
453,实时推理任务,982,2,122,高,区域A,20,985,982,不可抢占
454,实时推理任务,2260,2,328,高,区域A,20,2266,2260,不可抢占
455,实时推理任务,641,4,273,高,区域B,20,646,641,不可抢占
456,实时推理任务,1673,5,368,高,区域B,20,1680,1673,不可抢占
457,批量推理任务,1924,6,275,中,区域E,80,2406,1924,不可抢占
458,批量推理任务,133,13,375,中,区域F,80,2406,133,不可抢占
459,实时推理任务,1180,2,64,高,区域A,20,1182,1180,不可抢占
460,人工智能训练任务,1158,107,187,低,区域D,150,2406,1158,不可抢占
461,人工智能训练任务,1859,22,330,低,区域D,150,2406,1859,不可抢占
462,实时推理任务,956,1,264,高,区域B,20,961,956,不可抢占
463,批量推理任务,810,11,258,中,区域D,80,2406,810,不可抢占
464,批量推理任务,470,18,76,中,区域E,80,2406,470,不可抢占
465,人工智能训练任务,920,66,273,低,区域A,150,2406,920,不可抢占
466,人工智能训练任务,610,49,97,低,区域D,150,2406,610,不可抢占
467,批量推理任务,582,17,129,中,区域B,80,2406,582,不可抢占
468,实时推理任务,244,6,174,高,区域B,20,247,244,不可抢占
469,实时推理任务,1259,6,232,高,区域B,20,1263,1259,不可抢占
470,人工智能训练任务,2331,70,16,低,区域F,150,2406,2331,不可抢占
471,批量推理任务,1798,13,170,中,区域F,80,2406,1798,不可抢占
472,实时推理任务,1919,7,156,高,区域A,20,1922,1919,不可抢占
473,人工智能训练任务,1245,127,45,低,区域D,150,2406,1245,不可抢占
474,人工智能训练任务,1648,44,11,低,区域D,150,2406,1648,不可抢占
475,批量推理任务,2049,4,206,中,区域C,80,2406,2049,不可抢占
476,人工智能训练任务,2022,35,243,低,区域E,150,2406,2022,不可抢占
477,批量推理任务,329,5,128,中,区域E,80,2406,329,不可抢占
478,人工智能训练任务,163,27,270,低,区域F,150,2406,163,不可抢占
479,批量推理任务,1320,8,265,中,区域A,80,2406,1320,不可抢占
480,人工智能训练任务,1025,109,235,低,区域D,150,2406,1025,不可抢占
481,实时推理任务,374,5,364,高,区域B,20,381,374,不可抢占
482,实时推理任务,2356,4,373,高,区域B,20,2363,2356,不可抢占
483,人工智能训练任务,84,39,211,低,区域F,150,2406,84,不可抢占
484,人工智能训练任务,1103,45,68,低,区域F,150,2406,1103,不可抢占
485,人工智能训练任务,164,125,233,低,区域B,150,2406,164,不可抢占
486,实时推理任务,1927,1,23,高,区域A,20,1928,1927,不可抢占
487,人工智能训练任务,1811,24,246,低,区域D,150,2406,1811,不可抢占
488,批量推理任务,743,10,255,中,区域C,80,2406,743,不可抢占
489,人工智能训练任务,1785,37,13,低,区域E,150,2406,1785,不可抢占
490,人工智能训练任务,2014,41,38,低,区域F,150,2406,2014,不可抢占
491,实时推理任务,1925,5,302,高,区域F,20,1931,1925,不可抢占
492,批量推理任务,1672,14,155,中,区域A,80,2406,1672,不可抢占
493,批量推理任务,1315,13,50,中,区域B,80,2406,1315,不可抢占
494,人工智能训练任务,428,53,26,低,区域D,150,2406,428,不可抢占
495,实时推理任务,1350,5,387,高,区域B,20,1357,1350,不可抢占
496,批量推理任务,2029,15,126,中,区域D,80,2406,2029,不可抢占
497,批量推理任务,1640,13,36,中,区域F,80,2406,1640,不可抢占
498,人工智能训练任务,150,72,228,低,区域A,150,2406,150,不可抢占
499,批量推理任务,360,11,277,中,区域A,80,2406,360,不可抢占
500,批量推理任务,1033,16,182,中,区域B,80,2406,1033,不可抢占
501,批量推理任务,474,20,199,中,区域C,80,2406,474,不可抢占
502,批量推理任务,2107,17,139,中,区域D,80,2406,2107,不可抢占
503,实时推理任务,2222,4,372,高,区域C,20,2229,2222,不可抢占
504,批量推理任务,1692,4,190,中,区域F,80,2406,1692,不可抢占
505,实时推理任务,768,4,38,高,区域A,20,769,768,不可抢占
506,人工智能训练任务,1481,36,305,低,区域D,150,2406,1481,不可抢占
507,人工智能训练任务,2041,26,196,低,区域D,150,2406,2041,不可抢占
508,人工智能训练任务,1810,54,319,低,区域E,150,2406,1810,不可抢占
509,实时推理任务,833,2,120,高,区域C,20,835,833,不可抢占
510,批量推理任务,2249,8,298,中,区域E,80,2406,2249,不可抢占
511,实时推理任务,1179,2,248,高,区域A,20,1184,1179,不可抢占
512,批量推理任务,1985,23,236,中,区域A,80,2406,1985,不可抢占
513,实时推理任务,118,4,374,高,区域A,20,125,118,不可抢占
514,人工智能训练任务,980,122,210,低,区域D,150,2406,980,不可抢占
515,人工智能训练任务,648,41,82,低,区域E,150,2406,648,不可抢占
516,批量推理任务,2256,12,26,中,区域E,80,2406,2256,不可抢占
517,实时推理任务,2262,1,70,高,区域E,20,2264,2262,不可抢占
518,批量推理任务,381,14,51,中,区域A,80,2406,381,不可抢占
519,实时推理任务,464,1,300,高,区域A,20,469,464,不可抢占
520,批量推理任务,481,6,117,中,区域B,80,2406,481,不可抢占
521,人工智能训练任务,630,59,111,低,区域E,150,2406,630,不可抢占
522,批量推理任务,1195,5,284,中,区域D,80,2406,1195,不可抢占
523,人工智能训练任务,1119,116,314,低,区域F,150,2406,1119,不可抢占
524,批量推理任务,1976,20,66,中,区域A,80,2406,1976,不可抢占
525,批量推理任务,998,20,21,中,区域A,80,2406,998,不可抢占
526,批量推理任务,2257,19,348,中,区域B,80,2406,2257,不可抢占
527,实时推理任务,1571,7,90,高,区域B,20,1573,1571,不可抢占
528,实时推理任务,2081,7,207,高,区域B,20,2085,2081,不可抢占
529,人工智能训练任务,559,87,277,低,区域F,150,2406,559,不可抢占
530,实时推理任务,1131,7,374,高,区域D,20,1138,1131,不可抢占
531,批量推理任务,1392,18,275,中,区域A,80,2406,1392,不可抢占
532,人工智能训练任务,1094,31,291,低,区域D,150,2406,1094,不可抢占
533,实时推理任务,1158,5,259,高,区域B,20,1163,1158,不可抢占
534,人工智能训练任务,1222,22,344,低,区域E,150,2406,1222,不可抢占
535,人工智能训练任务,2375,22,380,低,区域E,150,2406,2375,不可抢占
536,人工智能训练任务,2005,63,324,低,区域F,150,2406,2005,不可抢占
537,实时推理任务,1829,7,232,高,区域F,20,1833,1829,不可抢占
538,人工智能训练任务,1983,109,112,低,区域C,150,2406,1983,不可抢占
539,批量推理任务,1361,20,168,中,区域B,80,2406,1361,不可抢占
540,人工智能训练任务,2225,39,197,低,区域D,150,2406,2225,不可抢占
541,批量推理任务,1865,16,140,中,区域D,80,2406,1865,不可抢占
542,批量推理任务,772,8,192,中,区域E,80,2406,772,不可抢占
543,人工智能训练任务,978,102,48,低,区域F,150,2406,978,不可抢占
544,人工智能训练任务,1568,30,13,低,区域B,150,2406,1568,不可抢占
545,实时推理任务,1682,5,219,高,区域A,20,1686,1682,不可抢占
546,实时推理任务,1303,1,117,高,区域B,20,1305,1303,不可抢占
547,人工智能训练任务,1937,81,236,低,区域E,150,2406,1937,不可抢占
548,人工智能训练任务,1561,57,260,低,区域E,150,2406,1561,不可抢占
549,批量推理任务,623,16,283,中,区域E,80,2406,623,不可抢占
550,批量推理任务,151,6,48,中,区域F,80,2406,151,不可抢占
551,实时推理任务,2057,6,327,高,区域A,20,2063,2057,不可抢占
552,人工智能训练任务,1359,123,281,低,区域D,150,2406,1359,不可抢占
553,实时推理任务,1803,4,368,高,区域B,20,1810,1803,不可抢占
554,实时推理任务,2154,4,74,高,区域B,20,2156,2154,不可抢占
555,批量推理任务,62,20,151,中,区域D,80,2406,62,不可抢占
556,人工智能训练任务,590,45,333,低,区域F,150,2406,590,不可抢占
557,批量推理任务,632,21,302,中,区域A,80,2406,632,不可抢占
558,实时推理任务,1923,1,202,高,区域A,20,1927,1923,不可抢占
559,批量推理任务,1386,17,82,中,区域B,80,2406,1386,不可抢占
560,人工智能训练任务,1628,30,149,低,区域D,150,2406,1628,不可抢占
561,人工智能训练任务,328,74,302,低,区域E,150,2406,328,不可抢占
562,批量推理任务,2185,8,389,中,区域E,80,2406,2185,不可抢占
563,批量推理任务,1297,9,328,中,区域F,80,2406,1297,不可抢占
564,人工智能训练任务,1998,61,20,低,区域C,150,2406,1998,不可抢占
565,人工智能训练任务,147,77,235,低,区域D,150,2406,147,不可抢占
566,人工智能训练任务,280,40,68,低,区域D,150,2406,280,不可抢占
567,实时推理任务,1177,4,319,高,区域B,20,1183,1177,不可抢占
568,实时推理任务,370,5,116,高,区域C,20,372,370,不可抢占
569,批量推理任务,403,5,227,中,区域E,80,2406,403,不可抢占
570,人工智能训练任务,411,56,268,低,区域A,150,2406,411,不可抢占
571,批量推理任务,681,9,270,中,区域A,80,2406,681,不可抢占
572,人工智能训练任务,1226,69,186,低,区域D,150,2406,1226,不可抢占
573,实时推理任务,188,1,387,高,区域B,20,195,188,不可抢占
574,批量推理任务,229,20,388,中,区域D,80,2406,229,不可抢占
575,批量推理任务,1468,13,187,中,区域E,80,2406,1468,不可抢占
576,批量推理任务,1764,21,154,中,区域F,80,2406,1764,不可抢占
577,实时推理任务,1000,3,236,高,区域A,20,1004,1000,不可抢占
578,人工智能训练任务,1687,117,129,低,区域D,150,2406,1687,不可抢占
579,人工智能训练任务,737,126,338,低,区域D,150,2406,737,不可抢占
580,实时推理任务,717,4,366,高,区域B,20,724,717,不可抢占
581,实时推理任务,1566,2,114,高,区域C,20,1568,1566,不可抢占
582,人工智能训练任务,986,71,38,低,区域F,150,2406,986,不可抢占
583,批量推理任务,2388,12,235,中,区域A,80,2406,2388,不可抢占
584,实时推理任务,951,4,18,高,区域A,20,952,951,不可抢占
585,批量推理任务,1040,18,34,中,区域B,80,2406,1040,不可抢占
586,批量推理任务,1045,8,235,中,区域C,80,2406,1045,不可抢占
587,人工智能训练任务,38,103,47,低,区域E,150,2406,38,不可抢占
588,批量推理任务,1178,11,398,中,区域E,80,2406,1178,不可抢占
589,人工智能训练任务,2238,63,46,低,区域F,150,2406,2238,不可抢占
590,实时推理任务,302,4,293,高,区域A,20,307,302,不可抢占
591,批量推理任务,1415,8,90,中,区域B,80,2406,1415,不可抢占
592,人工智能训练任务,1225,55,233,低,区域D,150,2406,1225,不可抢占
593,人工智能训练任务,1737,77,124,低,区域E,150,2406,1737,不可抢占
594,人工智能训练任务,1024,73,65,低,区域E,150,2406,1024,不可抢占
595,批量推理任务,1237,11,49,中,区域E,80,2406,1237,不可抢占
596,实时推理任务,1575,3,246,高,区域F,20,1580,1575,不可抢占
597,批量推理任务,436,4,225,中,区域A,80,2406,436,不可抢占
598,实时推理任务,1562,3,177,高,区域A,20,1565,1562,不可抢占
599,人工智能训练任务,1470,107,68,低,区域D,150,2406,1470,不可抢占
600,人工智能训练任务,1211,74,278,低,区域E,150,2406,1211,不可抢占
601,人工智能训练任务,1209,122,354,低,区域E,150,2406,1209,不可抢占
602,实时推理任务,1621,5,365,高,区域C,20,1628,1621,不可抢占
603,批量推理任务,33,9,16,中,区域A,80,2406,33,不可抢占
604,人工智能训练任务,200,20,323,低,区域D,150,2406,200,不可抢占
605,人工智能训练任务,2034,46,169,低,区域D,150,2406,2034,不可抢占
606,批量推理任务,942,14,167,中,区域C,80,2406,942,不可抢占
607,人工智能训练任务,1443,54,91,低,区域E,150,2406,1443,不可抢占
608,实时推理任务,778,4,215,高,区域C,20,782,778,不可抢占
